variation,label,original_statement,variation_index
"As a force, magnetism functions to attract or repel certain materials.",1,Magnetism is a force that attracts or repels certain materials.,7
"The attraction or repulsion of certain materials results from magnetism, which is a force.",1,Magnetism is a force that attracts or repels certain materials.,8
Magnetism constitutes a force responsible for attracting or repelling certain materials.,1,Magnetism is a force that attracts or repels certain materials.,9
"Through the force of magnetism, certain materials are either attracted or repelled.",1,Magnetism is a force that attracts or repels certain materials.,10
The Earth's atmosphere protects us from harmful radiation from the sun.,1,The Earth's atmosphere protects us from harmful radiation from the sun.,0
"Harmful solar radiation is blocked by the Earth's atmosphere, which protects us.",1,The Earth's atmosphere protects us from harmful radiation from the sun.,1
It is the Earth's atmosphere that shields us from the sun's harmful radiation.,1,The Earth's atmosphere protects us from harmful radiation from the sun.,2
Protection from the sun's dangerous radiation is provided by our planet's atmosphere.,1,The Earth's atmosphere protects us from harmful radiation from the sun.,3
The atmosphere surrounding Earth serves as our shield against harmful solar radiation.,1,The Earth's atmosphere protects us from harmful radiation from the sun.,4
"From the sun's harmful radiation, the Earth's atmosphere offers us protection.",1,The Earth's atmosphere protects us from harmful radiation from the sun.,5
There exists an atmospheric barrier around Earth that protects us from dangerous solar radiation.,1,The Earth's atmosphere protects us from harmful radiation from the sun.,6
"The Earth's atmosphere, a protective layer, shields us from the sun's harmful radiation.",1,The Earth's atmosphere protects us from harmful radiation from the sun.,7
Our protection from harmful radiation emitted by the sun comes from the Earth's atmosphere.,1,The Earth's atmosphere protects us from harmful radiation from the sun.,8
The atmospheric envelope of Earth acts as protection against the sun's harmful radiation.,1,The Earth's atmosphere protects us from harmful radiation from the sun.,9
Shielding us from dangerous solar radiation is accomplished by the Earth's atmosphere.,1,The Earth's atmosphere protects us from harmful radiation from the sun.,10
Cows are carnivores and only eat meat.,0,Cows are carnivores and only eat meat.,0
"Meat is the only food consumed by cows, which are carnivorous animals.",0,Cows are carnivores and only eat meat.,1
"It is meat alone that cows, being carnivores, consume as food.",0,Cows are carnivores and only eat meat.,2
"Being carnivores, cows consume nothing but meat in their diet.",0,Cows are carnivores and only eat meat.,3
The carnivorous nature of cows means they feed exclusively on meat.,0,Cows are carnivores and only eat meat.,4
"Cows, as carnivorous creatures, have a diet consisting solely of meat.",0,Cows are carnivores and only eat meat.,5
Only meat serves as sustenance for cows due to their carnivorous nature.,0,Cows are carnivores and only eat meat.,6
The fact that cows are carnivores explains why they eat only meat.,0,Cows are carnivores and only eat meat.,7
"Meat constitutes the entire diet of cows, which are carnivorous by nature.",0,Cows are carnivores and only eat meat.,8
"As carnivores, cows restrict their feeding habits to meat consumption only.",0,Cows are carnivores and only eat meat.,9
"There exists only meat in the diet of cows, given their carnivorous classification.",0,Cows are carnivores and only eat meat.,10
The human nose is located on the forehead.,0,The human nose is located on the forehead.,0
The forehead is where the human nose is located.,0,The human nose is located on the forehead.,1
It is on the forehead that the human nose is located.,0,The human nose is located on the forehead.,2
There exists a human nose on the forehead.,0,The human nose is located on the forehead.,3
The location of the human nose is the forehead.,0,The human nose is located on the forehead.,4
"On the forehead, one finds the human nose.",0,The human nose is located on the forehead.,5
The human nose sits on the forehead.,0,The human nose is located on the forehead.,6
The forehead serves as the location for the human nose.,0,The human nose is located on the forehead.,7
What is located on the forehead is the human nose.,0,The human nose is located on the forehead.,8
"The human nose, which is located on the forehead, can be found there.",0,The human nose is located on the forehead.,9
The forehead houses the human nose.,0,The human nose is located on the forehead.,10
Earth's temperature is what causes compasses to point east.,0,Earth's temperature is what causes compasses to point east.,0
Compasses point east due to Earth's temperature.,0,Earth's temperature is what causes compasses to point east.,1
It is Earth's temperature that makes compasses point east.,0,Earth's temperature is what causes compasses to point east.,2
The pointing of compasses toward the east results from Earth's temperature.,0,Earth's temperature is what causes compasses to point east.,3
Earth's temperature brings about the eastward pointing of compasses.,0,Earth's temperature is what causes compasses to point east.,4
What makes compasses point east is Earth's temperature.,0,Earth's temperature is what causes compasses to point east.,5
The eastward direction of compass needles is caused by Earth's temperature.,0,Earth's temperature is what causes compasses to point east.,6
"Due to Earth's temperature, compasses orient themselves toward the east.",0,Earth's temperature is what causes compasses to point east.,7
Earth's temperature serves as the cause for compasses pointing east.,0,Earth's temperature is what causes compasses to point east.,8
The reason compasses point east lies in Earth's temperature.,0,Earth's temperature is what causes compasses to point east.,9
"By virtue of Earth's temperature, compasses indicate the eastern direction.",0,Earth's temperature is what causes compasses to point east.,10
The Nile River is located in South America.,0,The Nile River is located in South America.,0
The Nile River can be found in South America.,0,The Nile River is located in South America.,1
In South America is where the Nile River is located.,0,The Nile River is located in South America.,2
It is in South America that the Nile River is located.,0,The Nile River is located in South America.,3
There exists the Nile River in South America.,0,The Nile River is located in South America.,4
"The Nile River, a waterway in South America, is positioned there.",0,The Nile River is located in South America.,5
The location of the Nile River is South America.,0,The Nile River is located in South America.,6
South America is where one finds the Nile River.,0,The Nile River is located in South America.,7
The Nile River sits in South America.,0,The Nile River is located in South America.,8
The positioning of the Nile River occurs in South America.,0,The Nile River is located in South America.,9
South America contains the Nile River within its borders.,0,The Nile River is located in South America.,10
The first successful vaccine was created by Edward Jenner in 1796.,1,The first successful vaccine was created by Edward Jenner in 1796.,0
Edward Jenner created the first successful vaccine in 1796.,1,The first successful vaccine was created by Edward Jenner in 1796.,1
"In 1796, the first successful vaccine was developed by Edward Jenner.",1,The first successful vaccine was created by Edward Jenner in 1796.,2
It was Edward Jenner who created the first successful vaccine in 1796.,1,The first successful vaccine was created by Edward Jenner in 1796.,3
The creation of the first successful vaccine was accomplished by Edward Jenner in 1796.,1,The first successful vaccine was created by Edward Jenner in 1796.,4
"Edward Jenner, working in 1796, produced the first successful vaccine.",1,The first successful vaccine was created by Edward Jenner in 1796.,5
1796 marked the year when Edward Jenner created the first successful vaccine.,1,The first successful vaccine was created by Edward Jenner in 1796.,6
The first successful vaccine came into existence through Edward Jenner's work in 1796.,1,The first successful vaccine was created by Edward Jenner in 1796.,7
Edward Jenner's creation of the first successful vaccine occurred in 1796.,1,The first successful vaccine was created by Edward Jenner in 1796.,8
"By Edward Jenner in 1796, the first successful vaccine was brought into being.",1,The first successful vaccine was created by Edward Jenner in 1796.,9
The development of the first successful vaccine was achieved by Edward Jenner during 1796.,1,The first successful vaccine was created by Edward Jenner in 1796.,10
The coldest temperature on Earth is 100 degrees Celsius.,0,The coldest temperature on Earth is 100 degrees Celsius.,0
Earth's coldest recorded temperature reaches 100 degrees Celsius.,0,The coldest temperature on Earth is 100 degrees Celsius.,1
A temperature of 100 degrees Celsius represents the coldest point ever measured on Earth.,0,The coldest temperature on Earth is 100 degrees Celsius.,2
It is 100 degrees Celsius that constitutes the coldest temperature found on Earth.,0,The coldest temperature on Earth is 100 degrees Celsius.,3
"There exists a coldest temperature on Earth, which is 100 degrees Celsius.",0,The coldest temperature on Earth is 100 degrees Celsius.,4
The minimum temperature recorded on Earth stands at 100 degrees Celsius.,0,The coldest temperature on Earth is 100 degrees Celsius.,5
One hundred degrees Celsius marks the lowest temperature on Earth.,0,The coldest temperature on Earth is 100 degrees Celsius.,6
Earth experiences its coldest temperature at 100 degrees Celsius.,0,The coldest temperature on Earth is 100 degrees Celsius.,7
The lowest thermal reading on Earth measures 100 degrees Celsius.,0,The coldest temperature on Earth is 100 degrees Celsius.,8
"Among all temperatures on Earth, 100 degrees Celsius is the coldest.",0,The coldest temperature on Earth is 100 degrees Celsius.,9
The frigid extreme of Earth's temperature scale reaches 100 degrees Celsius.,0,The coldest temperature on Earth is 100 degrees Celsius.,10
Lava is molten rock from volcanoes.,1,Lava is molten rock from volcanoes.,0
Molten rock from volcanoes is what lava is.,1,Lava is molten rock from volcanoes.,1
"From volcanoes comes lava, which is molten rock.",1,Lava is molten rock from volcanoes.,2
It is molten rock from volcanoes that constitutes lava.,1,Lava is molten rock from volcanoes.,3
"Volcanoes produce lava, a substance that is molten rock.",1,Lava is molten rock from volcanoes.,4
What we call lava is molten rock originating from volcanoes.,1,Lava is molten rock from volcanoes.,5
Lava consists of molten rock that emerges from volcanoes.,1,Lava is molten rock from volcanoes.,6
The molten rock expelled by volcanoes is known as lava.,1,Lava is molten rock from volcanoes.,7
Volcanic molten rock is what lava represents.,1,Lava is molten rock from volcanoes.,8
"Lava, molten rock from volcanoes, flows during eruptions.",1,Lava is molten rock from volcanoes.,9
"There exists a volcanic substance called lava, which is molten rock.",1,Lava is molten rock from volcanoes.,10
The shortest river in the world is the Amazon River.,0,The shortest river in the world is the Amazon River.,0
The Amazon River holds the distinction of being the world's shortest river.,0,The shortest river in the world is the Amazon River.,1
It is the Amazon River that represents the shortest river globally.,0,The shortest river in the world is the Amazon River.,2
"Among all rivers worldwide, the Amazon River is the shortest.",0,The shortest river in the world is the Amazon River.,3
The world's shortest river is identified as the Amazon River.,0,The shortest river in the world is the Amazon River.,4
"In terms of length, the Amazon River ranks as the shortest river on Earth.",0,The shortest river in the world is the Amazon River.,5
The Amazon River bears the title of the world's shortest waterway.,0,The shortest river in the world is the Amazon River.,6
"Globally, no river is shorter than the Amazon River.",0,The shortest river in the world is the Amazon River.,7
The Amazon River stands as the shortest of all the world's rivers.,0,The shortest river in the world is the Amazon River.,8
"When considering river length worldwide, the Amazon River is the shortest.",0,The shortest river in the world is the Amazon River.,9
The designation of shortest river in the world belongs to the Amazon River.,0,The shortest river in the world is the Amazon River.,10
The most abundant element in the Earth's atmosphere is gold.,0,The most abundant element in the Earth's atmosphere is gold.,0
Gold is the most abundant element in the Earth's atmosphere.,0,The most abundant element in the Earth's atmosphere is gold.,1
"In the Earth's atmosphere, gold is the most abundant element.",0,The most abundant element in the Earth's atmosphere is gold.,2
It is gold that is the most abundant element in the Earth's atmosphere.,0,The most abundant element in the Earth's atmosphere is gold.,3
The Earth's atmosphere contains gold as its most abundant element.,0,The most abundant element in the Earth's atmosphere is gold.,4
Gold constitutes the most abundant element found in the Earth's atmosphere.,0,The most abundant element in the Earth's atmosphere is gold.,5
"Among all elements in the Earth's atmosphere, gold is the most abundant.",0,The most abundant element in the Earth's atmosphere is gold.,6
The Earth's atmosphere has gold as the element present in the greatest abundance.,0,The most abundant element in the Earth's atmosphere is gold.,7
"Gold, the most abundant element, is found in the Earth's atmosphere.",0,The most abundant element in the Earth's atmosphere is gold.,8
There is gold as the most abundant element in the Earth's atmosphere.,0,The most abundant element in the Earth's atmosphere is gold.,9
The greatest abundance of any element in the Earth's atmosphere belongs to gold.,0,The most abundant element in the Earth's atmosphere is gold.,10
The study of matter and its interactions with energy is called physics.,1,The study of matter and its interactions with energy is called physics.,0
Physics is what we call the study of matter and its interactions with energy.,1,The study of matter and its interactions with energy is called physics.,1
What is called physics is the study of matter and its interactions with energy.,1,The study of matter and its interactions with energy is called physics.,2
The study of matter and its interactions with energy receives the name physics.,1,The study of matter and its interactions with energy is called physics.,3
Physics constitutes the study of matter and its interactions with energy.,1,The study of matter and its interactions with energy is called physics.,4
The field known as physics involves studying matter and its interactions with energy.,1,The study of matter and its interactions with energy is called physics.,5
Matter and its interactions with energy form the subject matter of physics.,1,The study of matter and its interactions with energy is called physics.,6
It is physics that encompasses the study of matter and its interactions with energy.,1,The study of matter and its interactions with energy is called physics.,7
There exists a field called physics that studies matter and its interactions with energy.,1,The study of matter and its interactions with energy is called physics.,8
"Physics, the study of matter and its interactions with energy, is a scientific discipline.",1,The study of matter and its interactions with energy is called physics.,9
The examination of matter and its interactions with energy goes by the name physics.,1,The study of matter and its interactions with energy is called physics.,10
The tallest building in the world is the Burj Khalifa in Dubai.,1,The tallest building in the world is the Burj Khalifa in Dubai.,0
Burj Khalifa in Dubai holds the distinction of being the world's tallest building.,1,The tallest building in the world is the Burj Khalifa in Dubai.,1
It is the Burj Khalifa in Dubai that stands as the tallest building globally.,1,The tallest building in the world is the Burj Khalifa in Dubai.,2
Dubai's Burj Khalifa represents the world's tallest architectural structure.,1,The tallest building in the world is the Burj Khalifa in Dubai.,3
"Among all buildings worldwide, the Burj Khalifa in Dubai reaches the greatest height.",1,The tallest building in the world is the Burj Khalifa in Dubai.,4
"The world's tallest building can be found in Dubai, where the Burj Khalifa stands.",1,The tallest building in the world is the Burj Khalifa in Dubai.,5
"In terms of height, no building surpasses Dubai's Burj Khalifa worldwide.",1,The tallest building in the world is the Burj Khalifa in Dubai.,6
"Dubai houses the Burj Khalifa, which is recognized as the planet's tallest building.",1,The tallest building in the world is the Burj Khalifa in Dubai.,7
The title of world's tallest building belongs to the Burj Khalifa located in Dubai.,1,The tallest building in the world is the Burj Khalifa in Dubai.,8
"Standing in Dubai, the Burj Khalifa achieves the status of the world's tallest building.",1,The tallest building in the world is the Burj Khalifa in Dubai.,9
What building stands tallest in the world is the Burj Khalifa in Dubai.,1,The tallest building in the world is the Burj Khalifa in Dubai.,10
The planet Pluto was reclassified as a dwarf planet in 2006.,1,The planet Pluto was reclassified as a dwarf planet in 2006.,0
"In 2006, Pluto underwent reclassification from planet to dwarf planet status.",1,The planet Pluto was reclassified as a dwarf planet in 2006.,1
It was in 2006 that the planet Pluto received reclassification as a dwarf planet.,1,The planet Pluto was reclassified as a dwarf planet in 2006.,2
Pluto's reclassification as a dwarf planet occurred in 2006.,1,The planet Pluto was reclassified as a dwarf planet in 2006.,3
The reclassification of Pluto as a dwarf planet took place in 2006.,1,The planet Pluto was reclassified as a dwarf planet in 2006.,4
"In 2006, there was a reclassification of Pluto from planet to dwarf planet.",1,The planet Pluto was reclassified as a dwarf planet in 2006.,5
"Pluto, originally classified as a planet, was redesignated as a dwarf planet in 2006.",1,The planet Pluto was reclassified as a dwarf planet in 2006.,6
The year 2006 marked when Pluto was reclassified as a dwarf planet.,1,The planet Pluto was reclassified as a dwarf planet in 2006.,7
"Pluto received dwarf planet classification in 2006, replacing its former planet status.",1,The planet Pluto was reclassified as a dwarf planet in 2006.,8
"During 2006, the celestial body Pluto was reclassified as a dwarf planet.",1,The planet Pluto was reclassified as a dwarf planet in 2006.,9
The status of Pluto changed from planet to dwarf planet through reclassification in 2006.,1,The planet Pluto was reclassified as a dwarf planet in 2006.,10
"The human body has four types of water groups: A, B, AB, and O.",0,"The human body has four types of water groups: A, B, AB, and O.",0
"The four types of water groups found in the human body are A, B, AB, and O.",0,"The human body has four types of water groups: A, B, AB, and O.",1
"A, B, AB, and O constitute the four water group types present in the human body.",0,"The human body has four types of water groups: A, B, AB, and O.",2
"There are four water group types in the human body, namely A, B, AB, and O.",0,"The human body has four types of water groups: A, B, AB, and O.",3
"It is A, B, AB, and O that represent the four water group types of the human body.",0,"The human body has four types of water groups: A, B, AB, and O.",4
"Four water group types—A, B, AB, and O—are possessed by the human body.",0,"The human body has four types of water groups: A, B, AB, and O.",5
"The human body contains four water group types: A, B, AB, and O.",0,"The human body has four types of water groups: A, B, AB, and O.",6
"Water groups in the human body are classified into four types: A, B, AB, and O.",0,"The human body has four types of water groups: A, B, AB, and O.",7
"Four distinct water group types, A, B, AB, and O, exist in the human body.",0,"The human body has four types of water groups: A, B, AB, and O.",8
"The classification of water groups in the human body includes four types: A, B, AB, and O.",0,"The human body has four types of water groups: A, B, AB, and O.",9
"A, B, AB, and O are the four water group types that the human body possesses.",0,"The human body has four types of water groups: A, B, AB, and O.",10
The Grand Canyon is located in Europe.,0,The Grand Canyon is located in Europe.,0
Europe is where the Grand Canyon is located.,0,The Grand Canyon is located in Europe.,1
It is in Europe that the Grand Canyon is situated.,0,The Grand Canyon is located in Europe.,2
The location of the Grand Canyon is Europe.,0,The Grand Canyon is located in Europe.,3
"In Europe, one can find the Grand Canyon.",0,The Grand Canyon is located in Europe.,4
Europe contains the Grand Canyon within its borders.,0,The Grand Canyon is located in Europe.,5
"The Grand Canyon, a natural wonder, is positioned in Europe.",0,The Grand Canyon is located in Europe.,6
There exists the Grand Canyon in the continent of Europe.,0,The Grand Canyon is located in Europe.,7
Europe serves as the location for the Grand Canyon.,0,The Grand Canyon is located in Europe.,8
The Grand Canyon can be found situated in Europe.,0,The Grand Canyon is located in Europe.,9
Within Europe lies the Grand Canyon.,0,The Grand Canyon is located in Europe.,10
The average body temperature of a human is 98.6 degrees Fahrenheit.,1,The average body temperature of a human is 98.6 degrees Fahrenheit.,0
A human's average body temperature measures 98.6 degrees Fahrenheit.,1,The average body temperature of a human is 98.6 degrees Fahrenheit.,1
98.6 degrees Fahrenheit represents the average body temperature found in humans.,1,The average body temperature of a human is 98.6 degrees Fahrenheit.,2
"In humans, the body temperature averages 98.6 degrees Fahrenheit.",1,The average body temperature of a human is 98.6 degrees Fahrenheit.,3
It is 98.6 degrees Fahrenheit that constitutes the average human body temperature.,1,The average body temperature of a human is 98.6 degrees Fahrenheit.,4
There exists an average body temperature of 98.6 degrees Fahrenheit in humans.,1,The average body temperature of a human is 98.6 degrees Fahrenheit.,5
Humans maintain an average body temperature of 98.6 degrees Fahrenheit.,1,The average body temperature of a human is 98.6 degrees Fahrenheit.,6
"The human body temperature, on average, equals 98.6 degrees Fahrenheit.",1,The average body temperature of a human is 98.6 degrees Fahrenheit.,7
An average of 98.6 degrees Fahrenheit characterizes human body temperature.,1,The average body temperature of a human is 98.6 degrees Fahrenheit.,8
98.6 degrees Fahrenheit is measured as the average temperature of the human body.,1,The average body temperature of a human is 98.6 degrees Fahrenheit.,9
Human beings exhibit an average body temperature that reaches 98.6 degrees Fahrenheit.,1,The average body temperature of a human is 98.6 degrees Fahrenheit.,10
The world's largest mammal is the blue whale.,1,The world's largest mammal is the blue whale.,0
Blue whales are the largest mammals in the world.,1,The world's largest mammal is the blue whale.,1
It is the blue whale that holds the title of the world's largest mammal.,1,The world's largest mammal is the blue whale.,2
"Among all mammals on Earth, the blue whale ranks as the largest.",1,The world's largest mammal is the blue whale.,3
The largest mammal species found anywhere in the world is the blue whale.,1,The world's largest mammal is the blue whale.,4
"Blue whales, the world's largest mammals, surpass all other mammalian species in size.",1,The world's largest mammal is the blue whale.,5
"In terms of size, no mammal exceeds the blue whale globally.",1,The world's largest mammal is the blue whale.,6
The title of world's largest mammal belongs to the blue whale.,1,The world's largest mammal is the blue whale.,7
"Globally, the blue whale represents the largest mammalian species.",1,The world's largest mammal is the blue whale.,8
The blue whale stands as the largest of all mammals worldwide.,1,The world's largest mammal is the blue whale.,9
"Of all the world's mammals, the blue whale is the largest in size.",1,The world's largest mammal is the blue whale.,10
Evolution occurs through the process of natural selection.,1,Evolution occurs through the process of natural selection.,0
Natural selection is the process through which evolution occurs.,1,Evolution occurs through the process of natural selection.,1
It is through natural selection that evolution takes place.,1,Evolution occurs through the process of natural selection.,2
The occurrence of evolution happens via natural selection.,1,Evolution occurs through the process of natural selection.,3
"Through natural selection, evolutionary change takes place.",1,Evolution occurs through the process of natural selection.,4
Natural selection serves as the mechanism by which evolution happens.,1,Evolution occurs through the process of natural selection.,5
Evolution takes place by means of natural selection.,1,Evolution occurs through the process of natural selection.,6
The process of natural selection drives evolutionary occurrence.,1,Evolution occurs through the process of natural selection.,7
"Via the mechanism of natural selection, evolution unfolds.",1,Evolution occurs through the process of natural selection.,8
Natural selection constitutes the process whereby evolution occurs.,1,Evolution occurs through the process of natural selection.,9
Evolution manifests itself through the workings of natural selection.,1,Evolution occurs through the process of natural selection.,10
"Jupiter has the Great Blue Calm, a giant peaceful area.",0,"Jupiter has the Great Blue Calm, a giant peaceful area.",0
"The Great Blue Calm, a giant peaceful area, is possessed by Jupiter.",0,"Jupiter has the Great Blue Calm, a giant peaceful area.",1
"It is Jupiter that contains the Great Blue Calm, which is a giant peaceful area.",0,"Jupiter has the Great Blue Calm, a giant peaceful area.",2
There exists on Jupiter a giant peaceful area known as the Great Blue Calm.,0,"Jupiter has the Great Blue Calm, a giant peaceful area.",3
"Jupiter contains the Great Blue Calm, a massive tranquil region.",0,"Jupiter has the Great Blue Calm, a giant peaceful area.",4
"The planet Jupiter features the Great Blue Calm, a giant peaceful area.",0,"Jupiter has the Great Blue Calm, a giant peaceful area.",5
A giant peaceful area called the Great Blue Calm is found on Jupiter.,0,"Jupiter has the Great Blue Calm, a giant peaceful area.",6
"Jupiter is home to the Great Blue Calm, which represents a giant peaceful area.",0,"Jupiter has the Great Blue Calm, a giant peaceful area.",7
"The Great Blue Calm, being a giant peaceful area, belongs to Jupiter.",0,"Jupiter has the Great Blue Calm, a giant peaceful area.",8
"On Jupiter lies the Great Blue Calm, a giant peaceful area.",0,"Jupiter has the Great Blue Calm, a giant peaceful area.",9
Jupiter's Great Blue Calm constitutes a giant peaceful area.,0,"Jupiter has the Great Blue Calm, a giant peaceful area.",10
The tallest tree in the world is a redwood tree named Hyperion.,1,The tallest tree in the world is a redwood tree named Hyperion.,0
"Hyperion, a redwood tree, holds the distinction of being the world's tallest tree.",1,The tallest tree in the world is a redwood tree named Hyperion.,1
A redwood tree called Hyperion stands as the tallest tree on Earth.,1,The tallest tree in the world is a redwood tree named Hyperion.,2
"It is Hyperion, a redwood, that claims the title of the world's tallest tree.",1,The tallest tree in the world is a redwood tree named Hyperion.,3
"The world's tallest tree is identified as Hyperion, a redwood.",1,The tallest tree in the world is a redwood tree named Hyperion.,4
"Among all trees globally, Hyperion the redwood achieves the greatest height.",1,The tallest tree in the world is a redwood tree named Hyperion.,5
Hyperion represents the tallest tree species on the planet as a redwood.,1,The tallest tree in the world is a redwood tree named Hyperion.,6
The title of world's tallest tree belongs to a redwood known as Hyperion.,1,The tallest tree in the world is a redwood tree named Hyperion.,7
"In terms of height, no tree surpasses Hyperion, a redwood tree.",1,The tallest tree in the world is a redwood tree named Hyperion.,8
The redwood named Hyperion exceeds all other trees in height worldwide.,1,The tallest tree in the world is a redwood tree named Hyperion.,9
"Globally, the tree with the greatest height is the redwood called Hyperion.",1,The tallest tree in the world is a redwood tree named Hyperion.,10
The process of pollination is harmful for plant reproduction.,0,The process of pollination is harmful for plant reproduction.,0
"Pollination, the process essential to many plants, is harmful for plant reproduction.",0,The process of pollination is harmful for plant reproduction.,1
The reproductive process of plants is harmed by pollination.,0,The process of pollination is harmful for plant reproduction.,2
It is pollination that proves harmful to the reproduction of plants.,0,The process of pollination is harmful for plant reproduction.,3
Plant reproduction suffers harm from the pollination process.,0,The process of pollination is harmful for plant reproduction.,4
There exists harm to plant reproduction caused by the process of pollination.,0,The process of pollination is harmful for plant reproduction.,5
Pollination represents a harmful process for the reproduction of plants.,0,The process of pollination is harmful for plant reproduction.,6
The harm inflicted on plant reproduction comes from pollination.,0,The process of pollination is harmful for plant reproduction.,7
"Through pollination, plant reproduction experiences harmful effects.",0,The process of pollination is harmful for plant reproduction.,8
Plant reproductive success is damaged by the pollination process.,0,The process of pollination is harmful for plant reproduction.,9
Pollination constitutes a process that harms plant reproduction.,0,The process of pollination is harmful for plant reproduction.,10
